🕘️更新时间,#genre#
2026-02-04 19:27:32,http://23.237.228.134/live5/CCTV1.m3u8

📺央视频道,#genre#
CCTV-1,http://23.237.228.134/live5/CCTV1.m3u8
CCTV-1,http://38.75.136.137:98/gslb/dsdqbv/cctv1hd.m3u8?auth=test20251009
CCTV-1,http://120.238.94.10:9901/tsfile/live/1018_1.m3u8
CCTV-1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV-1,http://112.46.85.60:8009/hls/501/index.m3u8
CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8
CCTV-1,http://111.221.137.234:44330/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV-1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV-1,https://live.ottiptv.cc/mcp/cctv1.m3u8?userid=5559462299&sign=dcd6bab2b716a877ab765e21d27eae47c5a843cb1c37277b4d21b09099e44270044b20ef2ba05d6957f7a07f2e77a5204c705edf076713355edc7c59c8b032d17d770e34912f7ed3d2b80540e7&auth_token=1b99577efa5a3442ca4c7820d6e0b4e8
CCTV-2,https://p2.bdstatic.com/rtmp.liveshow.lss-user.baidubce.com/live/stream_bduid_6488563992_8982723413/merged_1707497046297_88536_25144_41936.m3u8
CCTV-2,http://pull-hls-f1.douyincdn.com/media/stream-695106910011261612/playlist.m3u8?arch_hrchy=w1&exp_hrchy=w1&keeptime=00093a80&major_anchor_level=common&t_id=037-20260201084152FCA02A28E82C926FE0D6-TkujMo&wsSecret=85bb061c39ad9227e9c420993c2e56b8&wsTime=697ea150
CCTV-2,http://38.75.136.137:98/gslb/dsdqbv/cctv2hd.m3u8?auth=test20251009
CCTV-2,http://23.237.228.134/live5/CCTV2.m3u8
CCTV-2,http://222.169.85.8:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://218.13.170.98:9901/tsfile/live/0002_1.m3u8
CCTV-2,http://27.41.245.32:801/hls/2/index.m3u8
CCTV-2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV-2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV-2,http://120.238.94.10:9901/tsfile/live/1019_1.m3u8
CCTV-3,https://iptv.catvod.com/live.php?id=CCTV3
CCTV-3,http://23.237.228.134/live5/CCTV3.m3u8
CCTV-3,http://38.75.136.137:98/gslb/dsdqbv/cctv3hd.m3u8?auth=test20251009
CCTV-3,http://222.169.85.8:9901/tsfile/live/0003_1.m3u8
CCTV-3,http://39.152.103.17:8089/tsfile/live/1002_1.m3u8
CCTV-3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV-3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://153.0.171.163:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://120.238.94.10:9901/tsfile/live/1020_1.m3u8
CCTV-3,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8
CCTV-4,http://38.75.136.137:98/gslb/dsdqbv/cctv4hd.m3u8?auth=test20251009
CCTV-4,https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4,http://120.238.94.10:9901/tsfile/live/1021_1.m3u8
